kit,max_cM,example_source,example_start,example_end
A298765,12.6,triang_1710113373.csv,36543928,42030007
A342253,12.6,triang_1710113373.csv,4717060,9921374
A488651,12.6,triang_1710113373.csv,36543928,42030007
A946792,12.6,triang_1710113373.csv,11593982,19801267
AM2426543,12.6,triang_1710113373.csv,47837513,50079434
QW6801969,12.6,triang_1710113373.csv,48224494,59567263
QG3366171,12.5,triang_137266628.csv,29360305,52435947
A089797,12.5,triang_1710113373.csv,2194511,5773145
A320094,12.5,triang_1710113373.csv,61495,4076977
A380941,12.5,triang_1710113373.csv,2194511,5773145
A554223,12.5,triang_1710113373.csv,1787581,5345166
AF5550850,12.5,triang_1710113373.csv,6691691,9783269
HA9770122,12.5,triang_1710113373.csv,24554196,34226551
M258235,12.5,triang_1710113373.csv,6691691,9783269
M585966,12.5,triang_1710113373.csv,51750909,60787556
PP8152375,12.5,triang_1710113373.csv,33638388,44291595
SW4656606,12.5,triang_1710113373.csv,24554196,34226551
TJ5054086,12.5,triang_1710113373.csv,7115573,13616060
ZT9741255,12.5,triang_1710113373.csv,33638388,44291595
KD6839019,12.5,triang_423444393.csv,40535838,59792800
SL7204955,12.5,triang_423444393.csv,40535838,59785412
LP3427913,12.4,triang_137266628.csv,51564759,62723254
A054001,12.4,triang_1710113373.csv,45926585,49405594
A373429,12.4,triang_1710113373.csv,52023412,60805150
A464863,12.4,triang_1710113373.csv,24241101,28060148
A838063,12.4,triang_1710113373.csv,4913228,10105947
FD7446847,12.4,triang_1710113373.csv,1315900,4841657
MV5080535,12.4,triang_1710113373.csv,24653585,34316633
NH6222997,12.4,triang_1710113373.csv,4872310,10040087
PA1114510,12.4,triang_1710113373.csv,48519912,59592256
TH7854711,12.4,triang_1710113373.csv,24653585,34304561
XA1525044,12.4,triang_1710113373.csv,23307937,36898459
A444574,12.3,triang_1710113373.csv,1833898,5345166
A744306,12.3,triang_1710113373.csv,47683805,49911908
A901947,12.3,triang_1710113373.csv,741847,5326616
BG1521285,12.3,triang_1710113373.csv,44886297,48811095
GG5799506,12.3,triang_1710113373.csv,15202204,21018485
M304033,12.3,triang_1710113373.csv,15202204,21018485
M861732,12.3,triang_1710113373.csv,15110323,23098341
PK4119738,12.3,triang_1710113373.csv,8121656,14926057
RS2257306,12.3,triang_1710113373.csv,741847,5326616
A241414,12.2,triang_1710113373.csv,15189846,23098341
A436948,12.2,triang_1710113373.csv,4913228,10042003
A899608,12.2,triang_1710113373.csv,45943203,49372831
AR3872627,12.2,triang_1710113373.csv,20278004,25809371
BS8508705,12.2,triang_1710113373.csv,3143069,6978013
HW2337925,12.2,triang_1710113373.csv,3143069,6978013
M360951,12.2,triang_1710113373.csv,3143069,6978013
M626597,12.2,triang_1710113373.csv,63244,4379086
TR4979531,12.2,triang_1710113373.csv,3143069,6978013
YJ1373474,12.2,triang_1710113373.csv,4442390,9438538
A598285,12.1,triang_1710113373.csv,2145996,5600655
A701092,12.1,triang_1710113373.csv,2145996,5600655
CD2149359,12.1,triang_1710113373.csv,195315,3948722
JU1407832,12.1,triang_1710113373.csv,4952923,8865006
M065923,12.1,triang_1710113373.csv,3339142,7832387
RM7770135,12.1,triang_1710113373.csv,20443875,30047512
XT5583147,12.1,triang_1710113373.csv,7259346,13616060
MZ4572153,11.9,triang_1710113373.csv,45962016,56748298
A242246,11.9,triang_423444393.csv,2327135,5741702
A340301,11.9,triang_423444393.csv,2130963,5490708
A480545,11.9,triang_423444393.csv,47842948,49911222
A721707,11.9,triang_423444393.csv,2327135,5741702
DQ7307279,11.9,triang_423444393.csv,2327135,5741702
H099404,11.9,triang_423444393.csv,36363560,41680306
M448460,11.9,triang_423444393.csv,2327135,5741702
MA657888C1,11.9,triang_423444393.csv,32062536,41598896
MC1988848,11.9,triang_423444393.csv,2145996,5522945
RJ4852423,11.9,triang_423444393.csv,29504355,34224032
XB1446943,11.9,triang_423444393.csv,47864764,49911908
XW3092176,11.9,triang_423444393.csv,2327135,5741702
EZ3452777,11.8,triang_1710113373.csv,34084266,42027080
M382592,11.8,triang_423444393.csv,5562155,8189364
ZN5201239,11.8,triang_1710113373.csv,34084266,42027080
A063414,11.8,triang_423444393.csv,2145996,5490708
A071817,11.8,triang_423444393.csv,2101328,5450470
A566291,11.8,triang_423444393.csv,2155262,5492484
A658929,11.8,triang_423444393.csv,47864764,49900158
DV196094C1,11.8,triang_423444393.csv,2247857,5610543
M605078,11.8,triang_423444393.csv,5562155,8189364
DK2661494,11.7,triang_117615066.csv,18514528,23585132
QL8377309,11.7,triang_117615066.csv,18514528,23585132
A106372,11.7,triang_1257462371.csv,18558511,23633252
A744799,11.7,triang_1257462371.csv,48994889,58295247
RA1134405,11.7,triang_1257462371.csv,48994889,58295247
M130633,11.7,triang_1710113373.csv,6944843,12654912
A376412,11.7,triang_423444393.csv,44787383,48671102
G804479,11.7,triang_423444393.csv,2047418,5345166
ZS8123634,11.7,triang_423444393.csv,47905322,49900158
M297536,11.6,triang_1710113373.csv,6965278,12651854
A344015,11.6,triang_423444393.csv,2070846,5337127
AT9198565,11.6,triang_423444393.csv,20594783,30036177
GG2264709,11.6,triang_423444393.csv,29504355,34144830
LZ9787255,11.6,triang_423444393.csv,29504355,34140885
QU1374680,11.6,triang_423444393.csv,29504355,34140885
T880271,11.6,triang_423444393.csv,33047357,40824636
AV1354826,11.5,triang_423444393.csv,3351890,7084747
DP3510715,11.5,triang_423444393.csv,3351890,7084747
A292698,11.5,triang_423444393.csv,5562155,8123197
AU8369177,11.5,triang_423444393.csv,47728935,49745407
EW2677216,11.5,triang_423444393.csv,14670124,18987988
FD5455634,11.5,triang_423444393.csv,14670124,18987988
H367161,11.5,triang_423444393.csv,2145996,5373391
SG7791594,11.5,triang_423444393.csv,3351890,7084747
ZR5949251,11.5,triang_423444393.csv,47728935,49745407
A746286,11.4,triang_1710113373.csv,2917143,6767312
A086163,11.4,triang_423444393.csv,2155262,5332265
A357370,11.4,triang_423444393.csv,19580233,25113781
A896236,11.4,triang_423444393.csv,2347522,5600655
M094522,11.4,triang_423444393.csv,2145996,5337127
PH5520561,11.4,triang_423444393.csv,2155262,5332265
ZQ6750145,11.3,triang_1710113373.csv,11714890,20970042
A219264,11.3,triang_423444393.csv,52023412,59603757
A528547,11.3,triang_423444393.csv,11703635,20995849
A605751,11.3,triang_423444393.csv,8679822,12898134
A971024,11.3,triang_423444393.csv,28440287,33812809
JX2009573,11.3,triang_423444393.csv,2315400,5516701
M202211,11.3,triang_423444393.csv,2270812,5436345
QA6183759,11.3,triang_423444393.csv,61495,3723840
A108835,11.2,triang_423444393.csv,47952231,62741416
A436221,11.2,triang_423444393.csv,61495,3685016
A485015,11.2,triang_423444393.csv,19538163,24837488
A593882,11.2,triang_423444393.csv,7151708,13681606
A634415,11.2,triang_423444393.csv,30914552,37933172
A783737,11.2,triang_423444393.csv,47952231,62741416
A976474,11.2,triang_423444393.csv,2145996,5269637
AL7166242,11.2,triang_423444393.csv,30914552,37933172
CS2990932,11.2,triang_423444393.csv,19228736,24221295
CS9643628,11.2,triang_423444393.csv,7151708,13681606
GS3701469,11.2,triang_423444393.csv,63411,3696902
LU6072783,11.2,triang_423444393.csv,61495,3685016
M672756,11.2,triang_423444393.csv,2327135,5490708
PQ8461638,11.2,triang_423444393.csv,44886297,48666450
T624898,11.2,triang_423444393.csv,3315718,6972357
WP3518742,11.2,triang_423444393.csv,6241748,12314997
ZC5034295,11.2,triang_423444393.csv,19228736,24221295
A610050,11.1,triang_423444393.csv,42561034,46655385
A852483,11.1,triang_423444393.csv,50844173,59342968
BZ1256140,11.1,triang_423444393.csv,44886297,48654123
FQ7678133,11.1,triang_423444393.csv,20775758,30059205
FU8421328,11.1,triang_423444393.csv,2400967,5600655
M151908,11.1,triang_423444393.csv,61495,3655251
NM9410506,11.1,triang_423444393.csv,44886297,48654123
PZ9145321,11.1,triang_423444393.csv,13035974,20684320
QB2794757,11.1,triang_423444393.csv,82010,3655251
ZA8569338,11.1,triang_423444393.csv,61495,3655744
A352377,10.9,triang_423444393.csv,3471275,7099089
A889647,10.9,triang_423444393.csv,44943401,48666450
A950317,10.9,triang_423444393.csv,191619,4074394
A957400,10.9,triang_423444393.csv,2717526,6428764
DJ6057994,10.9,triang_423444393.csv,7712277,13611106
DX8703579,10.9,triang_423444393.csv,29559404,38345032
EX5134043,10.9,triang_423444393.csv,40423081,48354551
KA3400584,10.9,triang_423444393.csv,5567695,10992865
M356720,10.9,triang_423444393.csv,7054431,9847545
M540190,10.9,triang_423444393.csv,7054431,9847545
M780061,10.9,triang_423444393.csv,40974156,55118162
QN8760094,10.9,triang_423444393.csv,7054431,9847545
RX2207937,10.9,triang_423444393.csv,61495,3588042
YP9066606,10.9,triang_423444393.csv,19538163,24642587
YV1547337,10.9,triang_423444393.csv,19562013,24683117
AW1558201,10.8,triang_1710113373.csv,15280823,20061862
M602844,10.8,triang_1710113373.csv,105444,5023521
A537629,10.8,triang_423444393.csv,61495,3558555
TW8133679,10.8,triang_423444393.csv,61495,3558889
UN5137751,10.8,triang_423444393.csv,61495,3558889
ZQ1158671,10.8,triang_423444393.csv,61495,3558889
M478400,10.7,triang_423444393.csv,41075990,48652800
LL8878727,10.7,triang_423444393.csv,17506874,21990987
A124824,10.7,triang_423444393.csv,63411,3555312
A203246,10.7,triang_423444393.csv,15694767,21770908
A310677,10.7,triang_423444393.csv,15694767,21784950
A491753,10.7,triang_423444393.csv,15685665,21734758
A665963,10.7,triang_423444393.csv,44842354,48561393
A692625,10.7,triang_423444393.csv,17573329,22067536
A755939,10.7,triang_423444393.csv,15694767,21770908
A977004,10.7,triang_423444393.csv,17506874,21990987
GH7456555,10.7,triang_423444393.csv,17506874,21990987
JY6779343,10.7,triang_423444393.csv,22515541,32459704
M671238,10.7,triang_423444393.csv,15685665,21734758
QN2439575,10.7,triang_423444393.csv,11593982,19297340
T506107,10.7,triang_423444393.csv,2152370,5064834
TV1226993,10.7,triang_423444393.csv,17506874,21990987
XE7743181,10.7,triang_423444393.csv,41075990,48652800
A269267,10.6,triang_423444393.csv,17573329,21993126
A814356,10.6,triang_423444393.csv,3153383,7197346
A916725,10.6,triang_423444393.csv,19817809,25181838
A970926,10.6,triang_423444393.csv,2145996,5041215
FB569558C1,10.6,triang_423444393.csv,40974156,54928493
NE7851138,10.6,triang_423444393.csv,29230860,33849992
TK9447836,10.6,triang_423444393.csv,17577223,21990987
M146339,10.5,triang_1710113373.csv,40999393,48549257
A134746,10.5,triang_423444393.csv,7775304,11291036
A721406,10.5,triang_423444393.csv,47826334,49597206
A779431,10.5,triang_423444393.csv,47715107,49559242
A783601,10.5,triang_423444393.csv,4115555,8138155
A915798,10.5,triang_423444393.csv,16741099,28621394
EH1584659,10.5,triang_423444393.csv,16741099,28621394
FC4802563,10.5,triang_423444393.csv,8862296,13410897
KS9357701,10.5,triang_423444393.csv,8840025,13410897
M039881,10.5,triang_423444393.csv,32841934,40962987
QE2060073,10.5,triang_423444393.csv,41034912,48549257
SU8827936,10.5,triang_423444393.csv,47842948,49604190
A221067,10.4,triang_423444393.csv,44886297,48536673
A247158,10.4,triang_423444393.csv,44886297,48536673
A263254,10.4,triang_423444393.csv,2400967,5332265
A540357,10.4,triang_423444393.csv,209814,3446885
A652883,10.4,triang_423444393.csv,4115555,8114429
A780402,10.4,triang_423444393.csv,32745752,40336546
A899349,10.4,triang_423444393.csv,32831670,40627066
BF7297921,10.4,triang_423444393.csv,4115555,8114429
EJ4926188,10.4,triang_423444393.csv,44886297,48536673
FL7019763,10.4,triang_423444393.csv,41032059,54892741
GF5194867,10.4,triang_423444393.csv,8853987,13374762
HG9298054,10.4,triang_423444393.csv,752721,4004250
HW9480031,10.4,triang_423444393.csv,44886297,48543658
KP5769380,10.4,triang_423444393.csv,44886297,48543658
MN8416514,10.4,triang_423444393.csv,2030468,4837269
RB2159013,10.4,triang_423444393.csv,16741099,28422193
T586853,10.4,triang_423444393.csv,752721,4004250
A893843,10.3,triang_1710113373.csv,8546104,13827708
KJ6924118,10.3,triang_1710113373.csv,8546104,13827708
A559315,10.3,triang_423444393.csv,33291494,40146809
AH2672185,10.3,triang_423444393.csv,9752939,13993454
CT3351717,10.3,triang_423444393.csv,2145996,4922720
CW4381013,10.3,triang_423444393.csv,15214708,19150133
KW3274393,10.3,triang_423444393.csv,13574131,18368810
T401534,10.3,triang_423444393.csv,40636400,48244569
T863773,10.3,triang_423444393.csv,2427030,5345166
WH7335272,10.3,triang_423444393.csv,13574131,18368810
CU8577344,10.2,triang_423444393.csv,8446393,11578474
A060933,10.2,triang_423444393.csv,12347641,16393736
A122665,10.2,triang_423444393.csv,12347641,16393736
A128352,10.2,triang_423444393.csv,33366346,40917243
A478397,10.2,triang_423444393.csv,41032059,54743408
A691736,10.2,triang_423444393.csv,33066481,41301008
A883572,10.2,triang_423444393.csv,8446393,11578474
BG9185912,10.2,triang_423444393.csv,7143714,9814187
WG4011399,10.2,triang_423444393.csv,7132405,9806921
A077739,10.1,triang_137266628.csv,22844981,29394781
A373299,10.1,triang_423444393.csv,7143714,9781249
A443587,10.1,triang_423444393.csv,32916978,40287885
A988865,10.1,triang_423444393.csv,38989385,43887461
DD2097659,10.1,triang_423444393.csv,48025824,58228412
PV7754314,10.1,triang_423444393.csv,2756407,5715340
A332067,9.9,triang_1257462371.csv,41075990,48371102
A223345,9.9,triang_137266628.csv,22876739,29327431
A357048,9.9,triang_423444393.csv,9941748,16034232
A952882,9.9,triang_423444393.csv,9947612,16034232
DV4931456,9.9,triang_423444393.csv,25471651,31821769
NF8282058,9.9,triang_423444393.csv,16170523,23102550
RJ6741605,9.9,triang_423444393.csv,19595702,24108934
T704336,9.9,triang_423444393.csv,6107360,8227344
T774655,9.9,triang_423444393.csv,25471651,31821769
T944407,9.9,triang_423444393.csv,16170523,23102550
ZJ1804225,9.9,triang_423444393.csv,45617317,50782303
A495781,9.8,triang_117615066.csv,34249434,38695099
A893693,9.8,triang_137266628.csv,17418671,22271995
LE1988950,9.8,triang_423444393.csv,3363565,6697406
A571949,9.7,triang_423444393.csv,8539705,14178469
AD7828923,9.7,triang_423444393.csv,8539705,14178469
T613291,9.6,triang_117615066.csv,23633252,27191942
T782823,9.6,triang_117615066.csv,23633252,27191942
EH1310117,9.6,triang_1710113373.csv,17221495,19097437
A371222,9.5,triang_137266628.csv,19054974,23743178
QJ5679383,9.5,triang_1710113373.csv,23004629,29257223
JV9681730,9.5,triang_423444393.csv,36351891,40945268
A720922,9.4,triang_1710113373.csv,2308430,5644184
MM1932627,9.3,triang_423444393.csv,6944843,10338676
EW7235528,9.2,triang_117615066.csv,26456367,29904354
T176716,9.2,triang_117615066.csv,26456367,29904354
A352303,9.2,triang_423444393.csv,21318433,25397740
SQ2802221,9.2,triang_423444393.csv,49693755,54098101
GG4044644,9.1,triang_117615066.csv,30598516,36954628
EY1178191,8.7,triang_423444393.csv,19973768,24246904
HB5029531,8.6,triang_1710113373.csv,49886052,55614690
PU8777721,8.6,triang_1710113373.csv,49886052,55614690
M452000,8.3,triang_423444393.csv,3005616,5490708
ES5604299,8.2,triang_423444393.csv,17632651,20766299
KW2499776,7.6,triang_423444393.csv,49411269,52885852
EG4659735,7.4,triang_423444393.csv,18718305,22978646
NX1702003,7.4,triang_423444393.csv,18718305,22978646
A656857,7.3,triang_1257462371.csv,41259941,43086264
A750443,7.2,triang_1710113373.csv,5424807,7109600
DF6278389,7.2,triang_1710113373.csv,14981920,18331242
M560159,7.1,triang_1710113373.csv,8882679,11075660
AZ7506068,7.1,triang_423444393.csv,41947912,45948289
